created,text,retweetCount
2017-07-06 10:38:34,"RT @INCIndia: Demonetisation is not going to make any lasting dent in corruption- Paul Krugman, Nobel Laureate  https://t.co/rLG0Dth7qB",364
2017-07-06 10:38:29,"RT @SaffronWatch: They may call it anti-national

https://t.co/5sPkl3aOmF",4
2017-07-06 10:38:04,"RT @INCIndia: Demonetisation is not going to make any lasting dent in corruption- Paul Krugman, Nobel Laureate  https://t.co/rLG0Dth7qB",364
2017-07-06 10:37:49,RT @kapsology: .@narendramodi trying to bring India out of self-made disaster ~ Demonetisation https://t.co/VRo8x9fNVi,81
2017-07-06 10:37:18,RT @RaisinaSeries: Double blow from demonetisation &amp; GST will play out over next 6 months with reduced econ growth. BJP will compensate by…,183
2017-07-06 10:37:10,"RT @INCIndia: Demonetisation is not going to make any lasting dent in corruption- Paul Krugman, Nobel Laureate  https://t.co/rLG0Dth7qB",364
2017-07-06 10:36:36,RT @manojnarahari: GDP growth slows to 6.1% in Jan-March: Indian economy finally bares its demonetisation scars  https://t.co/NlRArvXEyr vi…,6
2017-07-06 10:36:12,"@sanjayuvacha Billion Dollar Idea...and many topics they will find...2002, Chaiwala, Demonetisation, Vyapan and the list goes on...",0
2017-07-06 10:36:11,"RT @INCIndia: Demonetisation is not going to make any lasting dent in corruption- Paul Krugman, Nobel Laureate  https://t.co/rLG0Dth7qB",364
2017-07-06 10:35:59,"RT @INCIndia: Demonetisation is not going to make any lasting dent in corruption- Paul Krugman, Nobel Laureate  https://t.co/rLG0Dth7qB",364
2017-07-06 10:35:40,RT @kapsology: .@narendramodi trying to bring India out of self-made disaster ~ Demonetisation https://t.co/VRo8x9fNVi,81
2017-07-06 10:35:39,"RT @INCIndia: Demonetisation is not going to make any lasting dent in corruption- Paul Krugman, Nobel Laureate  https://t.co/rLG0Dth7qB",364
2017-07-06 10:34:32,RT @kapsology: .@narendramodi trying to bring India out of self-made disaster ~ Demonetisation https://t.co/VRo8x9fNVi,81
2017-07-06 10:34:19,@Lowtary Strike ou demonetisation ?,0
2017-07-06 10:32:58,RT @asaravanan21: Who is this guy? Blabbering what qualifications? Our FM aka DM is way better than a Nobel Prize. #demonetization    https…,2
2017-07-06 10:32:19,RT @naveenbebra: Need one more Demonetisation https://t.co/d4hTZiDNta,7
2017-07-06 10:32:15,"RT @INCIndia: Demonetisation is not going to make any lasting dent in corruption- Paul Krugman, Nobel Laureate  https://t.co/rLG0Dth7qB",364
2017-07-06 10:31:42,"RT @SaffronWatch: They may call it anti-national

https://t.co/5sPkl3aOmF",4
2017-07-06 10:31:27,RT @kapsology: .@narendramodi trying to bring India out of self-made disaster ~ Demonetisation https://t.co/VRo8x9fNVi,81
2017-07-06 10:31:23,"RT @SurajMNHegde: New threats &amp; realities that will have to be faced in #cashless economy &amp; #DigitalIndia post #DeMonetisation
Imagine your…",59
2017-07-06 10:31:22,"RT @INCIndia: Demonetisation is not going to make any lasting dent in corruption- Paul Krugman, Nobel Laureate  https://t.co/rLG0Dth7qB",364
